example,ngram,pattern,term
It looks like he did abandon his post.,abandon his,abandon n,abandon
"The psalmist says: “My body also will rest secure, because you will not abandon me to the grave.",abandon me to the grave,abandon n to n,abandon
At times she whipped her ponytail around with abandon.,with abandon,with abandon,abandon
"My 66 companion, abashed by his mistake, said nothing A NIGHT IN THE “ LOWER TOWN.",abashed by his,abashed by n,abashed
His abdication was the result of a bad guess.,his abdication,"x+'s abdication",abdication
Her abdomen was noted to be distended and diffusely tender.,her abdomen,"x+'s abdomen",abdomen
Is it because dark nails and heels are in abeyance?,in abeyance,in abeyance,abeyance
"But his absence was a big statement, and an endorsement of what people always think about his abhorrence for Asanteman and Akyem-Abuakwa.",his abhorrence,"x+'s abhorrence",abhorrence
They should be just as abhorrent to us.,abhorrent to us,abhorrent to n,abhorrent
It is abhorrent to hold people down or beat them down or even talk down to them.,it is abhorrent to hold,it v-link abhorrent to-inf,abhorrent
"At one time, he rarely met anyone who had as much ability as he did.",ability as he,ability as n,ability
"Condent of your ability in one area, you assume that ability is to be found in the same measure in all areas.",ability in one,ability in n,ability
He himself shares the inherited family ability with his brothers T.,ability with his,ability with n,ability
His mojo relies on his ability to make enormous bets.,ability to make,ability to-inf,ability
Students will be judged on their ability to present the news.,their ability,"x+'s ability",ability
Do you focus on ability rather than disability?,on ability,on ability,ability
Set the world ablaze with the Fire Tarot.,ablaze with the fire,ablaze with n,ablaze
You’ve got to be able to get back on the horse.,able to get,able to-inf,able
I observed a loon performing his ablutions.,his ablutions,"x+'s ablutions",ablutions
The complete abolition of the death penalty entered into force.,abolition of the death,abolition of n,abolition
I have no doubt abound with them.,abound with them,abound with n,abound
"He chose oysters, which abound in the area.",abound in the area,abound in n,abound
My first thought is that she’s about to be sick.,about to be,about to-inf,about
And you young tings all agog about it.,agog about it,agog about n,about
That’s the toughest part about it – it stops.,part about it,part about n,about
Are you straightforward about it?,straightforward about it,straightforward about n,about
"Additionally, we do not make any assumption about the nature of our input despite being hierarchically ordered.",assumption about the nature,assumption about n,about
